ID,Participant,Accent,Sentence,Item,Stimulus,Response,Word_Type,Accuracy,Error_Type,Familiarity,,,
324,65,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
325,65,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
326,65,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
327,65,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
328,65,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
329,66,ChinEng,32,264,forget,Forget,Content,TRUE,,Rarely,,,
330,66,ChinEng,32,265,all,all,Function,TRUE,,Rarely,,,
331,66,ChinEng,32,266,the,the,Function,TRUE,,Rarely,,,
332,66,ChinEng,32,267,violent,violent,Content,TRUE,,Rarely,,,
333,66,ChinEng,32,268,things,things,Content,TRUE,,Rarely,,,
334,67,ChinEng,32,264,forget,Forget,Content,TRUE,,Sometimes,,,
335,67,ChinEng,32,265,all,all,Function,TRUE,,Sometimes,,,
336,67,ChinEng,32,266,the,the,Function,TRUE,,Sometimes,,,
337,67,ChinEng,32,267,violent,violent,Content,TRUE,,Sometimes,,,
338,67,ChinEng,32,268,things,things,Content,TRUE,,Sometimes,,,
339,70,ChinEng,32,264,forget,Forget,Content,TRUE,,Sometimes,,,
340,70,ChinEng,32,265,all,all,Function,TRUE,,Sometimes,,,
341,70,ChinEng,32,266,the,of,Function,FALSE,Replacement_Dissimilar,Sometimes,,,
342,70,ChinEng,32,267,violent,Ireland,Content,FALSE,Replacement_Similar,Sometimes,,,
343,70,ChinEng,32,268,things,things,Content,TRUE,,Sometimes,,,
344,71,ChinEng,32,264,forget,forget,Content,TRUE,,Never,,,
345,71,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
346,71,ChinEng,32,266,the,of,Function,FALSE,Replacement_Dissimilar,Never,,,
347,71,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
348,71,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
349,72,ChinEng,32,264,forget,forget,Content,TRUE,,Sometimes,,,
350,72,ChinEng,32,265,all,all,Function,TRUE,,Sometimes,,,
351,72,ChinEng,32,266,the,the,Function,TRUE,,Sometimes,,,
352,72,ChinEng,32,267,violent,violent,Content,TRUE,,Sometimes,,,
353,72,ChinEng,32,268,things,things,Content,TRUE,,Sometimes,,,
354,73,ChinEng,32,264,forget,forgot,Content,FALSE,Verb_tense,Rarely,,,
355,73,ChinEng,32,265,all,all,Function,TRUE,,Rarely,,,
356,73,ChinEng,32,266,the,the,Function,TRUE,,Rarely,,,
357,73,ChinEng,32,267,violent,violent,Content,TRUE,,Rarely,,,
358,73,ChinEng,32,268,things,things,Content,TRUE,,Rarely,,,
359,75,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
360,75,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
361,75,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
362,75,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
363,75,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
364,7,ChinEng,33,269,never,They,Content,FALSE,Replacement_Dissimilar,Never,,,
365,7,ChinEng,33,270,get,getting,Function,FALSE,Verb_tense,Never,,,
366,7,ChinEng,33,271,involved,over,Content,FALSE,Replacement_Dissimilar,Never,,,
367,7,ChinEng,33,272,in,in,Function,TRUE,,Never,,,
368,7,ChinEng,33,273,the,the,Function,TRUE,,Never,,,
369,7,ChinEng,33,274,casino,casino,Content,TRUE,,Never,,,
370,7,ChinEng,33,275,gambling,X,Content,FALSE,Omission_CW,Never,,,
371,10,ChinEng,33,269,never,never,Content,TRUE,,Never,,,
372,10,ChinEng,33,270,get,get,Function,TRUE,,Never,,,
373,10,ChinEng,33,271,involved,X,Content,FALSE,Omission_CW,Never,,,
374,10,ChinEng,33,272,in,into,Function,FALSE,Replacement_Similar,Never,,,
375,10,ChinEng,33,273,the,the,Function,TRUE,,Never,,,
376,10,ChinEng,33,274,casino,casino,Content,TRUE,,Never,,,
377,10,ChinEng,33,275,gambling,gambling,Content,TRUE,,Never,,,
378,13,ChinEng,33,269,never,X,Content,FALSE,Omission_CW,Never,,,
